Ue 50x25x10x2;50;25;10;2;1,68;2,14;7,93;3,17;1,93;0,93;1,78;1,13;0,91
Ue 50x25x10x2,25;50;25;10;2,25;1,86;2,37;8,65;3,46;1,91;0,93;1,91;1,22;0,9
Ue 50x25x10x2,65;50;25;10;2,65;2,17;2,72;9,68;3,87;1,89;0,92;2,09;1,33;0,88
Ue 50x25x10x3;50;25;10;3;2,36;3,01;10,46;4,18;1,86;0,92;2,21;1,4;0,86
Ue 75x40x15x2;75;40;15;2;2,9;3,44;30,33;8,09;2,97;1,5;7,88;3,15;1,51
Ue 75x40x15x2,25;75;40;15;2,25;3,21;3,83;33,47;8,93;2,96;1,5;8,62;3,45;1,5
Ue 75x40x15x2,65;75;40;15;2,65;3,49;4,44;38,22;10,19;2,93;1,5;9,72;3,89;1,48
Ue 75x40x15x3;75;40;15;3;4;4,96;42,08;11,22;2,91;1,5;10,58;4,23;1,46
Ue 100x40x17x2;100;40;17;2;3,25;4,02;60,66;12,13;3,89;1,38;9,25;3,53;1,52
Ue 100x40x17x2,25;100;40;17;2,25;3,52;4,48;67,17;13,43;3,87;1,37;10,15;3,87;1,5
Ue 100x40x17x2,65;100;40;17;2,65;4,19;5,21;77,03;15,41;3,85;1,37;11,47;4,37;1,48
Ue 100x40x17x3;100;40;17;3;4,68;5,83;85,19;17,04;3,82;1,37;12,51;4,76;1,47
Ue 100x50x17x2;100;50;17;2;3,47;4,42;70,26;14,05;3,99;1,78;15,76;4,9;1,89
Ue 100x50x17x2,25;100;50;17;2,25;4;4,93;77,89;15,58;3,97;1,78;17,36;5,39;1,88
Ue 100x50x17x2,65;100;50;17;2,65;4,51;5,74;89,59;17,92;3,95;1,78;19,74;6,13;1,85
Ue 100x50x17x3;100;50;17;3;5,25;6,43;99,3;19,86;3,93;1,78;21,66;6,72;1,84
Ue 127x50x17x2;127;50;17;2;4;4,68;115,45;18,18;4,97;1,59;16,17;4,74;1,86
Ue 127x50x17x2,25;127;50;17;2,25;4,35;5,54;135,33;21,31;4,94;1,59;18,71;5,48;1,84
Ue 127x50x17x2,65;127;50;17;2,65;5,17;6,39;154,31;24,3;4,92;1,58;21,07;6,17;1,82
Ue 127x50x17x3;127;50;17;3;5,86;7,21;172,4;27,15;4,89;1,58;23,24;6,79;1,8
Ue 150x50x20x2;150;50;20;2;4,33;5,1;168,72;22,46;5,76;1,48;16,63;5,01;1,8
Ue 150x50x20x2,25;150;50;20;2,25;5;6,05;198,56;26,43;4,64;1,47;19,37;5,77;1,78
Ue 150x50x20x2,65;150;50;20;2,65;5,67;6,99;227,27;30,25;4,61;1,47;21,95;6,54;1,77
Ue 150x50x20x3;150;50;20;3;6,5;7,91;254,91;33,93;4,58;1,47;24,36;7,24;1,74
Ue 150x60x20x2;150;60;20;2;4,7;5,61;195,38;26,05;5,9;1,92;28,36;6,95;2,25
Ue 150x60x20x2,25;150;60;20;2,25;5,33;6,66;229,93;30,66;5,88;1,91;33,03;8,08;2,23
Ue 150x60x20x2,65;150;60;20;2,65;6,17;7,69;263,19;35,09;5,85;1,91;37,42;9,15;2,21
Ue 150x60x20x3;150;60;20;3;7;8,7;295,19;39,36;5,82;1,91;41,53;10,14;2,18
Ue 200x60x20x2;200;60;20;2;5,77;-;-;-;-;-;-;-;-
Ue 200x60x20x2,25;200;60;20;2,25;6,87;-;-;-;-;-;-;-;-
Ue 200x60x20x2,65;200;60;20;2,65;7,96;-;-;-;-;-;-;-;-
Ue 200x60x20x3;200;60;20;3;8,82;-;-;-;-;-;-;-;-
