Q 61;15 x 15;3,4 x 3,4;0,61 x 0,61;2,45 x 6,00;0,97;14,3
Q 75;15 x 15;3,8 x 3,8;0,75 x 0,75;2,45 x 6,00;1,21;17,8
Q 92;15 x 15;4,2 x 4,2;0,92 x 0,92;2,45 x 6,00;1,48;21,8
T 92;30 x 15;4,2 x 4,2;0,46 x 0,92;2,45 x 6,00;1,12;16,5
Q 113;10 x 10;3,8 x 3,8;1,13 x 1,13;2,45 x 6,00;1,80;26,5
L 113;10 x 30;3,8 x 3,8;1,13 x 0,38;2,45 x 6,00;1,21;17,8
T 113;30 x 10;3,8 x 3,8;0,38 x 1,13;2,45 x 6,00;1,22;17,9
Q 138;10 x 10;4,2 x 4,2;1,38 x 1,38;2,45 x 6,00;2,20;32,3
R 138;10 x 15;4,2 x 4,2;1,38 x 0,92;2,45 x 6,00;1,83;26,9
M 138;10 x 20;4,2 x 4,2;1,38 x 0,69;2,45 x 6,00;1,65;24,3
L 138;10 x 30;4,2 x 4,2;1,38 x 0,46;2,45 x 6,00;1,47;21,6
T 138;30 x 10;4,2 x 4,2;0,46 x 1,38;2,45 x 6,00;1,49;21,9
Q 166;10 x 10;4,6 x 4,6;1,66 x 1,66;2,45 x 6,00;2,63;38,7
R 166;10 x 15;4,6 x 4,6;1,66 x 1,11;2,45 x 6,00;2,20;32,3
M 166;10 x 20;4,6 x 4,6;1,66 x 0,83;2,45 x 6,00;1,98;29,1
L 166;10 x 30;4,6 x 4,6;1,66 x 0,55;2,45 x 6,00;1,76;25,9
T 166;30 x 10;4,6 x 4,6;0,55 x 1,66;2,45 x 6,00;1,78;26,2
Q 196;10 x 10;5,0 x 5,0;1,96 x 1,96;2,45 x 6,00;3,11;45,7
R 196;10 x 15;5,0 x 5,0;1,96 x 1,31;2,45 x 6,00;2,60;38,2
M 196;10 x 20;5,0 x 5,0;1,96 x 0,98;2,45 x 6,00;2,34;34,4
L 196;10 x 30;5,0 x 5,0;1,96 x 0,65;2,45 x 6,00;2,09;30,7
T 196;30 x 10;5,0 x 5,0;0,65 x 1,96;2,45 x 6,00;2,11;31,0
Q 238;10 x 10;5,5 x 5,5;2,38 x 2,38;2,45 x 6,00;3,76;55,3
R 238;10 x 15;5,5 x 5,5;2,38 x 1,58;2,45 x 6,00;3,14;46,2
M 238;10 x 20;5,5 x 5,5;2,38 x 1,19;2,45 x 6,00;2,83;41,6
L 238;10 x 30;5,5 x 5,5;2,38 x 0,79;2,45 x 6,00;2,52;37,1
T 238;30 x 10;5,5 x 5,5;0,79 x 2,38;2,45 x 6,00;2,54;37,4
Q 283;10 x 10;6,0 x 6,0;2,83 x 2,83;2,45 x 6,00;4,48;65,9
R 283;10 x 15;6,0 x 6,0;2,83 x 1,88;2,45 x 6,00;3,74;55,0
M 283;10 x 20;6,0 x 6,0;2,83 x 1,41;2,45 x 6,00;3,37;49,5
L 283;10 x 30;6,0 x 6,0;2,83 x 0,94;2,45 x 6,00;3,00;44,1
T 283;30 x 10;6,0 x 6,0;0,94 x 2,83;2,45 x 6,00;3,03;44,5
Q 335;15 x 15;8,0 x 8,0;3,35 x 3,35;2,45 x 6,00;5,37;78,9
L 335;15 x 30;8,0 x 6,0;3,35 x 0,94;2,45 x 6,00;3,48;51,2
T 335;30 x 15;6,0 x 8,0;0,94 x 3,35;2,45 x 6,00;3,45;50,7
Q 385;10 x 10;7,0 x 7,0;3,85 x 3,85;2,45 x 6,00;6,09;89,6
R 385;10 x 15;7,0 x 7,0;3,85 x 2,57;2,45 x 6,00;5,09;74,8
M 385;10 x 20;7,0 x 7,0;3,85 x 1,92;2,45 x 6,00;4,58;67,4
L 385;10 x 30;7,0 x 6,0;3,85 x 0,94;2,45 x 6,00;3,81;56,1
T 385;30 x 10;6,0 x 7,0;0,94 x 3,85;2,45 x 6,00;3,83;56,3
Q 473;15 x 15;9,5 x 9,5;4,73 x 4,73;2,45 x 6,00;7,56;111,2
L 473;15 x 30;9,5 x 9,5;4,73 x 2,36;2,45 x 6,00;5,71;84,0
T 473;30 x 15;9,5 x 9,5;2,36 x 4,73;2,45 x 6,00;5,75;84,5
Q 503;10 x 10;8,0 x 8,0;5,03 x 5,03;2,45 x 6,00;7,97;117,2
R 503;10 x 15;8,0 x 8,0;5,03 x 3,35;2,45 x 6,00;6,66;97,9
M 503;10 x 20;8,0 x 8,0;5,03 x 2,51;2,45 x 6,00;6,00;88,2
L 503;10 x 30;8,0 x 6,0;5,03 x 0,94;2,45 x 6,00;4,77;70,1
T 503;30 x 10;6,0 x 8,0;0,94 x 5,03;2,45 x 6,00;4,76;70,0
Q 524;15 x 15;10,0 x 10,0;5,24 x 5,24;2,45 x 6,00;8,38;123,2
L 524;15 x 30;10,0 x 10,0;5,24 x 2,62;2,45 x 6,00;6,33;93,0
T 524;30 x 15;10,0 x 10,0;2,62 x 5,24;2,45 x 6,00;6,37;93,6
Q 709;10 x 10;9,5 x 9,5;7,09 x 7,09;2,45 x 6,00;11,23;165,1
R 709;10 x 15;9,5 x 9,5;7,09 x 4,72;2,45 x 6,00;9,37;137,9
M 709;10 x 20;9,5 x 9,5;7,09 x 3,54;2,45 x 6,00;8,45;124,3
L 709;10 x 30;9,5 x 6,0;7,09 x 0,94;2,45 x 6,00;6,41;94,3
T 709;30 x 10;6,0 x 9,5;0,94 x 7,09;2,45 x 6,00;6,37;93,7
Q 785;10 x 10;10,0 x 10,0;7,85 x 7,85;2,45 x 6,00;12,46;183,2
L 785;10 x 30;10,0 x 6,0;7,85 x 0,94;2,45 x 6,00;7,03;103,3
